Name: drush/drush
Version: No version set (parsed as 1.0.0)
Licenses: GPL-2.0-or-later
Dependencies:

Name                                   Version  License       
consolidation/annotated-command        2.12.0   MIT           
consolidation/output-formatters        3.4.0    MIT           
dflydev/dot-access-data                v1.1.0   MIT           
dnoegel/php-xdg-base-dir               0.1      MIT           
jakub-onderka/php-console-color        v0.2     BSD-2-Clause  
jakub-onderka/php-console-highlighter  v0.4     MIT           
nikic/php-parser                       v2.1.1   BSD-3-Clause  
pear/console_table                     v1.3.1   BSD-2-Clause  
psr/log                                1.1.0    MIT           
psy/psysh                              v0.9.9   MIT           
symfony/console                        v2.8.49  MIT           
symfony/debug                          v2.8.49  MIT           
symfony/event-dispatcher               v2.8.49  MIT           
symfony/finder                         v2.8.49  MIT           
symfony/polyfill-ctype                 v1.10.0  MIT           
symfony/polyfill-mbstring              v1.10.0  MIT           
symfony/var-dumper                     v2.8.49  MIT           
symfony/yaml                           v2.8.49  MIT           
webflo/drupal-finder                   1.1.0    GPL-2.0+      
webmozart/assert                       1.4.0    MIT           
webmozart/path-util                    2.3.0    MIT           
