Gueltig ab / valid from 19.05.2025;;;;;;
BIC;Name;SERVICE SCT;SERVICE COR;SERVICE COR1;SERVICE B2B;SERVICE SCC
AABAFI22;BANK OF ALAND PLC;1;1;0;0;0
AABASESS;Bank of Aland, Finland (branch Sweden);1;0;0;0;0
AABSDE31;AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT;1;0;0;0;0
AACSDE33;SPARKASSE AACHEN;1;1;0;1;1
AAKRDK22;KREDITBANKEN AS;1;1;0;1;0
AALMFR22;ALMA;1;0;0;0;0
AARBDE5W;AAREAL BANK AG;1;1;0;1;1
AASANO21;AASEN SPAREBANK;1;0;0;0;0
ABBYGB2L;SANTANDER UK PLC;1;0;0;0;0
ABCADEFF;ARAB BANKING CORPORATION SA FRANKFURT BRANCH;1;1;0;1;0
ABCEGB2L;ABC INTERNATIONAL BANK PLC;1;1;0;0;0
ABCOFRPP;ARAB BANKING CORPORATION SA;1;1;0;0;0
ABCOITMM;ARAB BANKING CORPORATION SA, MILAN BRANCH;1;1;0;0;0
ABERBE22;Bank de Kremer divisie van Bank J.Van Breda NV;1;1;0;1;0
ABGRDEFF;PIRAEUS BANK SA (FRANKFURT BRANCH),EX AGRICULTURALBANK OF GREECE SA;1;1;0;1;1
ABKBDEB1;AKB ALLGEMEINE BEAMTEN BANK AG;1;1;0;0;0
ABKLCY2N;ALPHA BANK CYPRUS LIMITED;1;1;0;0;0
ABNABE2A;ABN AMRO BANK NV BELGIAN BRANCH;1;1;0;1;0
ABNABE2AIDJ;ABN AMRO BANK NV BELGIAN BRANCH;1;1;0;0;0
ABNABE2AIPC;ABN AMRO BANK NV BELGIAN BRANCH;1;1;0;0;0
ABNALULL;THE ROYAL BANK OF SCOTLAND PLC LUXEMBOURG BRANCH;1;0;0;0;0
ABNANL2A;ABN AMRO BANK NV;1;1;0;1;0
ABNCNL2A;ABN AMRO CLEARING BANK NV;1;0;0;0;0
ABOCDEFF;AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH;1;1;0;1;0
ABRNIE21;PEOPLE FIRST CREDIT UNION LIMITED;1;1;0;0;0
ABRUIE21;ABBEYFEALE CREDIT UNION LIMITED;1;0;0;0;0
ABSGCHGG;HINDUJA BANK (SWITZERLAND) LTD;1;0;0;0;0
ABSOCH22;ALTERNATIVE BANK SCHWEIZ AG;1;0;0;0;0
ABVRATW1;START.BAUSPARKASSE E.GEN.;1;1;0;1;0
ACRGCH22;ACREVIS BANK AG;1;0;0;0;0
ACRUIE21;Claddagh Credit Union Limited;1;1;0;0;0
ACTVPTPL;ACTIVOBANK;1;1;0;0;0
