Name: platformsh/cli
Version: No version set (parsed as 1.0.0)
Licenses: MIT
Dependencies:

Name                                Version  License       
cocur/slugify                       v2.5     MIT           
composer/ca-bundle                  1.2.8    MIT           
doctrine/cache                      v1.6.2   MIT           
firebase/php-jwt                    v2.2.0   BSD-3-Clause  
guzzlehttp/cache-subscriber         0.2.0    MIT           
guzzlehttp/guzzle                   5.3.4    MIT           
guzzlehttp/ringphp                  1.1.1    MIT           
guzzlehttp/streams                  3.0.0    MIT           
padraic/humbug_get_contents         1.1.2    BSD-3-Clause  
padraic/phar-updater                v1.0.6   BSD-3-Clause  
paragonie/random_compat             v2.0.20  MIT           
pjcdawkins/guzzle-oauth2-plugin     v2.3.1   MIT           
platformsh/client                   0.45.0   MIT           
platformsh/console-form             v0.0.25  MIT           
psr/container                       1.0.0    MIT           
psr/log                             1.1.3    MIT           
react/promise                       v2.8.0   MIT           
stecman/symfony-console-completion  0.11.0   MIT           
symfony/config                      v3.4.47  MIT           
symfony/console                     v3.4.47  MIT           
symfony/debug                       v3.4.47  MIT           
symfony/dependency-injection        v3.4.47  MIT           
symfony/event-dispatcher            v3.4.47  MIT           
symfony/filesystem                  v3.4.47  MIT           
symfony/finder                      v3.4.47  MIT           
symfony/polyfill-ctype              v1.19.0  MIT           
symfony/polyfill-mbstring           v1.19.0  MIT           
symfony/process                     v3.4.47  MIT           
symfony/yaml                        v3.4.47  MIT           
